"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AVWAGE","TOT","USD","A","2000",43652,
"AUS","AVWAGE","TOT","USD","A","2001",43218,
"AUS","AVWAGE","TOT","USD","A","2002",43556,
"AUS","AVWAGE","TOT","USD","A","2003",44025,
"AUS","AVWAGE","TOT","USD","A","2004",45386,
"AUS","AVWAGE","TOT","USD","A","2005",45977,
"AUS","AVWAGE","TOT","USD","A","2006",46258,
"AUS","AVWAGE","TOT","USD","A","2007",47571,
"AUS","AVWAGE","TOT","USD","A","2008",47935,
"AUS","AVWAGE","TOT","USD","A","2009",47507,
"AUS","AVWAGE","TOT","USD","A","2010",49002,
"AUS","AVWAGE","TOT","USD","A","2011",50471,
"AUS","AVWAGE","TOT","USD","A","2012",50909,
"AUS","AVWAGE","TOT","USD","A","2013",50554,
"AUS","AVWAGE","TOT","USD","A","2014",50707,
"AUS","AVWAGE","TOT","USD","A","2015",50167,
"AUT","AVWAGE","TOT","USD","A","2000",42083,
"AUT","AVWAGE","TOT","USD","A","2001",41961,
"AUT","AVWAGE","TOT","USD","A","2002",42608,
"AUT","AVWAGE","TOT","USD","A","2003",42727,
"AUT","AVWAGE","TOT","USD","A","2004",43510,
"AUT","AVWAGE","TOT","USD","A","2005",43710,
"AUT","AVWAGE","TOT","USD","A","2006",44344,
"AUT","AVWAGE","TOT","USD","A","2007",44567,
"AUT","AVWAGE","TOT","USD","A","2008",45340,
"AUT","AVWAGE","TOT","USD","A","2009",46037,
"AUT","AVWAGE","TOT","USD","A","2010",45847,
"AUT","AVWAGE","TOT","USD","A","2011",45344,
"AUT","AVWAGE","TOT","USD","A","2012",45602,
"AUT","AVWAGE","TOT","USD","A","2013",45649,
"AUT","AVWAGE","TOT","USD","A","2014",45757,
"AUT","AVWAGE","TOT","USD","A","2015",46084,
"BEL","AVWAGE","TOT","USD","A","2000",45519,
"BEL","AVWAGE","TOT","USD","A","2001",45768,
"BEL","AVWAGE","TOT","USD","A","2002",46539,
"BEL","AVWAGE","TOT","USD","A","2003",46726,
"BEL","AVWAGE","TOT","USD","A","2004",46496,
"BEL","AVWAGE","TOT","USD","A","2005",46207,
"BEL","AVWAGE","TOT","USD","A","2006",46397,
"BEL","AVWAGE","TOT","USD","A","2007",46184,
"BEL","AVWAGE","TOT","USD","A","2008",46329,
"BEL","AVWAGE","TOT","USD","A","2009",46725,
"BEL","AVWAGE","TOT","USD","A","2010",46453,
"BEL","AVWAGE","TOT","USD","A","2011",46867,
"BEL","AVWAGE","TOT","USD","A","2012",47231,
"BEL","AVWAGE","TOT","USD","A","2013",47578,
"BEL","AVWAGE","TOT","USD","A","2014",47745,
"BEL","AVWAGE","TOT","USD","A","2015",47702,
"CAN","AVWAGE","TOT","USD","A","2000",38751,
"CAN","AVWAGE","TOT","USD","A","2001",38592,
"CAN","AVWAGE","TOT","USD","A","2002",38176,
"CAN","AVWAGE","TOT","USD","A","2003",38181,
"CAN","AVWAGE","TOT","USD","A","2004",39205,
"CAN","AVWAGE","TOT","USD","A","2005",40884,
"CAN","AVWAGE","TOT","USD","A","2006",42178,
"CAN","AVWAGE","TOT","USD","A","2007",43196,
"CAN","AVWAGE","TOT","USD","A","2008",44013,
"CAN","AVWAGE","TOT","USD","A","2009",44486,
"CAN","AVWAGE","TOT","USD","A","2010",44661,
"CAN","AVWAGE","TOT","USD","A","2011",45346,
"CAN","AVWAGE","TOT","USD","A","2012",46397,
"CAN","AVWAGE","TOT","USD","A","2013",47277,
"CAN","AVWAGE","TOT","USD","A","2014",47723,
"CAN","AVWAGE","TOT","USD","A","2015",47843,
"CZE","AVWAGE","TOT","USD","A","2000",15021,
"CZE","AVWAGE","TOT","USD","A","2001",15503,
"CZE","AVWAGE","TOT","USD","A","2002",16687,
